"ID","Person / Node","Entity","Type","Public Role / Relationship","Connection / Evidence","AA / NIWC PAC Relevance","Confidence","Source Date","Source URL"
"FS-013","David Stinnett","Trive Capital","Ownership sponsor","Partner at Trive Capital","David Stinnett is quoted by Forward Slope in the SoarTech acquisition announcement and by Lyntris in the 2026 brand announcement.","Corporate lineage","High","2023 and 2026","https://www.forwardslope.com/news/forward-slope-inc-completes-acquisition-soar-technology-inc; https://www.prnewswire.com/news-releases/lyntris-unveiled-as-unified-defense-technology-company-to-help-dow-and-allied-nation-customers-turn-sense-to-certainty-302767764.html"
"FS-014","Accelint","Accelint","Parent / platform event","FSI becomes wholly owned subsidiary","Forward Slope announced on May 8, 2024 that FSI became a wholly owned subsidiary of Accelint, a platform combining FSI, Highbury Defense Group, Hypergiant, SoarTech, and SIE.","Corporate lineage","High","2024-05-08","https://www.forwardslope.com/news/forward-slope-now-accelint-company"
"FS-015","Mike Betzer","Accelint","Executive contact","President at Accelint launch","Mike Betzer is quoted as President in the Forward Slope becomes Accelint company announcement.","Executive context","High","2024-05-08","https://www.forwardslope.com/news/forward-slope-now-accelint-company"
"FS-016","Brian Morrison","Accelint / Lyntris","Executive contact","Chief Executive Officer","Accelint names Brian Morrison as CEO; Lyntris later names Morrison CEO of the unified company.","Executive context","High","2025-2026","https://www.accelint.com/company; https://www.prnewswire.com/news-releases/lyntris-unveiled-as-unified-defense-technology-company-to-help-dow-and-allied-nation-customers-turn-sense-to-certainty-302767764.html"
"FS-017","Daniel Gelyana","Accelint","Executive contact","President, Global C2 & Cyber","Accelint leadership page names Daniel Gelyana as President, Global C2 & Cyber, tied to C4ISR, cyber, and engineering programs.","Strong NIWC / C2 adjacency","Medium","Current company page","https://www.accelint.com/company"
"FS-018","Quentin Donnellan","Accelint","Executive contact","President, UX Software Factory","Accelint leadership page names Quentin Donnellan as President, UX Software Factory, relevant to mission software and interface work.","Strong NIWC / C2 adjacency","Medium","Current company page","https://www.accelint.com/company"
"FS-019","Lyntris Inc.","Lyntris / Accelint / Vitesse","Parent / brand event","Unified defense technology company","Lyntris announcement says Accelint and Vitesse were unified under the Lyntris name, combining mission systems, AI decision support, autonomy, C2, sensors, RF, and payloads.","Corporate lineage","High","2026-05-11","https://www.prnewswire.com/news-releases/lyntris-unveiled-as-unified-defense-technology-company-to-help-dow-and-allied-nation-customers-turn-sense-to-certainty-302767764.html; https://www.lyntris.com/company/contact"
"FS-020","Matthew Alty","Lyntris / Vitesse","Executive contact","President and Vice Chair","Lyntris names Matthew Alty President and Vice Chair, formerly CEO of Vitesse Systems, managing integration across C2, sensors/systems, and AI businesses.","Executive context","High","2026-05-11","https://www.prnewswire.com/news-releases/lyntris-unveiled-as-unified-defense-technology-company-to-help-dow-and-allied-nation-customers-turn-sense-to-certainty-302767764.html; https://www.lyntris.com/company/about"
"FS-021","ONR C2RPC to MTC2 lineage","Forward Slope / Accelint / Lyntris","Capability lineage","C2 product lineage","Forward Slope and Accelint describe the 2008 ONR C2RPC prototype transitioning through SSC/NIWC Pacific task orders into Maritime Tactical Command and Control.","Strong NIWC / C2 adjacency","High","2008-current lineage page","https://www.forwardslope.com/solutions/gis-application-development/case-study/case-study-gis-application-development; https://www.accelint.com/resources/from-prototype-to-program-of-record-building-the-navys-maritime-tactical-c2-system; https://www.lyntris.com/capabilities/act/c2"
"FS-022","NIWC Pacific RDT&E support","Accelint","Award / capability","RDT&E support and test engineering","Accelint says it was awarded a $17.1M NIWC Pacific IDIQ contract modification for C5ISR RDT&E support, analysis, and test engineering.","Strong NIWC / C2 adjacency","High","Current resource page","https://www.accelint.com/resources/niwc-pacific-rdt-e-support-analysis-and-test-engineering-services"
"FS-023","Common Control System support","Accelint","Award / capability","NAVAIR PMA-281 / NIWC Pacific support","Accelint says it supports the Navy's Common Control System under a $9.4M C2&E IDIQ task order with NIWC Pacific and NAVAIR PMA-281.","Strong NIWC / C2 adjacency","High","Current resource page","https://www.accelint.com/resources/supporting-the-navys-unified-control-system-for-unmanned-vehicles"
"FS-024","PMW 740 C2 work","Forward Slope / Accelint","Program adjacency","International C2 / FMS support","Forward Slope, an Accelint company, announced PMW 740 support for Saudi Arabia/Oman and Sri Lanka C2-related efforts.","Strong NIWC / C2 adjacency","Medium","2024-current pages","https://www.forwardslope.com/news/fsi-accelint-company-awarded-saudi-arabia-oman-contract; https://www.forwardslope.com/news/fsi-awarded-sri-lanka-contract-support-multi-spectral-maritime-surveillance-system-msmss"
"FS-025","Brian Guenther","Forward Slope / Accelint","Executive / program contact","VP Global Security and Engineering Solutions","Brian Guenther is quoted in Forward Slope PMW 740 award announcements; USAspending also lists him in executive-details metadata for the 2023 AA order recipient.","Strong NIWC / C2 adjacency","Medium","2024 and USAspending 2023 award metadata","https://www.forwardslope.com/news/fsi-accelint-company-awarded-saudi-arabia-oman-contract; https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"FS-026","Arman Vosough","Forward Slope Inc.","Contract contact","Contracts Manager / public contract POC","Forward Slope SeaPort-e page lists Arman Vosough as Contracts Manager and public contract POC; USAspending also lists Arman Vosough in executive-details metadata for the 2023 AA order recipient.","Company contact route","Medium","Current SeaPort-e page and 2023 award metadata","https://www.forwardslope.com/seaport-enhanced; https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"FS-027","Andrew Pidduck","Forward Slope Inc.","Task order contact","VP of Programs / task order POC","Forward Slope SeaPort-e task order page names Andrew Pidduck as POC for multiple 2018-2019 SPAWAR / PEO C4I task orders.","Strong NIWC / C2 adjacency","Medium","2018-2019 task order page","https://www.forwardslope.com/seaport-enhanced/task-orders"
"FS-028","Marisabel Serrato","Forward Slope Inc.","Media / route contact","Communications Coordinator","Forward Slope's SoarTech acquisition page names Marisabel Serrato as Communications Coordinator and media contact route.","Company contact route","High","2023-08-25","https://www.forwardslope.com/news/forward-slope-inc-completes-acquisition-soar-technology-inc"
"FS-029","Joseph Lenahan","Lyntris","Media / route contact","Public announcement media contact","The Lyntris unveiling announcement names Joseph Lenahan as media contact through O'Keeffe & Company.","Company contact route","High","2026-05-11","https://www.prnewswire.com/news-releases/lyntris-unveiled-as-unified-defense-technology-company-to-help-dow-and-allied-nation-customers-turn-sense-to-certainty-302767764.html"
"FS-030","No public AA contractor PM found","Forward Slope / Accelint / Lyntris","Public gap","Unresolved named lead","Public sources found direct AA contract trail and corporate/contract contacts, but no current named Forward Slope/Accelint/Lyntris Application Arsenal PM, capture lead, or technical lead.","No named AA lead found","High","2026 research pass","https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
