"ID","Person","Organization / Side","Public Role","Proximity","Currentness","Application Arsenal / Ecosystem Connection","Confidence","Source Date","Source URL"
"AA-P-011","Rick Jack","Project Overmatch","DevSecOps Lead","Direct technical lineage","Historical","Publicly described Application Arsenal as essential to OSA and rapid software fielding.","High","2021-08-19","https://www.navy.mil/Press-Office/News-Stories/Article/2735561/navwar-deploys-the-navys-first-application-arsenal/"
"AA-P-012","Sam Hallock","NAVWAR / Project Overmatch","Project Overmatch Baseline Manager and NAVWAR Chief of Staff","Direct operational lineage","Historical","Publicly shown accessing Application Arsenal during the 2021 deployment era; relevant to Project Overmatch baseline and command-level adoption context.","High","2021-08-17","https://www.dvidshub.net/image/6787129/navwar-deploys-navys-first-application-arsenal"
"AA-P-013","Matt O’Neil","NIWC Pacific / OSA Tools","Project Manager, Overmatch Software Armory Tools","Direct technical ecosystem","Historical","Led the OSA toolchain project; Application Arsenal and ACS are sibling OSA components.","High","2021-07-28","https://www.dvidshub.net/image/6753882/navwar-launches-first-secret-level-devsecops-pipeline"
"AA-P-014","Chris Johnson","NIWC Pacific","Former Division Head, Code 532; Collaborative Software Armory / OSA leader","Direct technical lineage","Historical","Former Code 532 leader with direct OSA and division continuity; superseded publicly by John Barrie by May 2026.","Very high","2023-04-30 / 2024-03-14","https://www.dair.nps.edu/bitstream/123456789/4857/1/SYM-AM-23-088.pdf; https://www.niwcpacific.navy.mil/Media/Press-Releases/Article-Display/Article/3707748/niwc-pacific-empowers-sailors-to-perform-first-sailor-capable-install/"
"AA-P-015","Arman Vosough","Forward Slope","Contracts Manager; public contract POC","Contractor-side contact","Current / current-recent","Public contracts route for Forward Slope and recipient executive metadata on the current Application Arsenal order. No public evidence identifies him as the AA program lead.","Medium","Current page / 2023 award","https://www.forwardslope.com/seaport-enhanced; https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"AA-P-016","Brian Guenther","Forward Slope / Accelint","Vice President, Global Security and Engineering Solutions","Contractor-side leadership","Current-recent","Named in adjacent PMW 740 award announcements and recipient executive metadata on the current Application Arsenal order. Direct AA delivery responsibility is not public.","Medium","2024 / 2023 award","https://www.forwardslope.com/news/fsi-accelint-company-awarded-saudi-arabia-oman-contract; https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"AA-P-017","Adham Shaaban","Forward Slope","Chief Information Security Officer","Contractor-side cyber leadership","Current-recent; revalidate","Publicly identified as Forward Slope CISO and included in recipient executive metadata on the current Application Arsenal order. No public evidence identifies him as the AA cyber lead.","Medium","2023 / 2023 award","https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"AA-P-018","Jason Mak","Forward Slope","Mission Solution Program Manager","Contractor-side program adjacency","Current-recent; revalidate","Publicly associated with a separate NIWC software and DevSecOps effort and included in recipient executive metadata on the current Application Arsenal order. Direct AA responsibility is not public.","Medium","2020 / 2023 award","https://www.usaspending.gov/award/CONT_AWD_N6600123F3509_9700_N0017821D9078_9700/"
"AA-P-019","Andrew Pidduck","Forward Slope","Vice President of Programs; historical task-order POC","Contractor-side program adjacency","Historical","Named as POC for multiple 2018-2019 SPAWAR and PEO C4I task orders, establishing NIWC/C2 program proximity but not current AA authority.","Medium","2018-2019","https://www.forwardslope.com/seaport-enhanced/task-orders"
"AA-P-020","Daniel Gelyana","Accelint","President, Global C2 & Cyber","Contractor-side portfolio leadership","Current-recent","Corporate leader over a portfolio aligned to C4ISR, cyber, and engineering programs. No public evidence identifies him as the AA delivery lead.","Medium","Current company page","https://www.accelint.com/company"
"AA-P-021","Quentin Donnellan","Accelint","President, UX Software Factory","Contractor-side software leadership","Current-recent","Corporate leader over mission-software and user-experience capabilities adjacent to Application Arsenal delivery. No public evidence identifies him as the AA delivery lead.","Medium","Current company page","https://www.accelint.com/company"
"AA-P-022","Brian Morrison","Accelint / Lyntris","Chief Executive Officer","Contractor-side corporate authority","Current","CEO of the successor corporate platform. Corporate authority is confirmed; Application Arsenal delivery involvement is not.","High","2025-2026","https://www.accelint.com/company; https://www.prnewswire.com/news-releases/lyntris-unveiled-as-unified-defense-technology-company-to-help-dow-and-allied-nation-customers-turn-sense-to-certainty-302767764.html"
