ID,Program,Prime,Status,IOM Seam / Relevance,Award / Forecast ID,Value / Term,Scope,Confidence,Source Refs,Source URL
11,Aegis VIII,BAE Systems,Forecast / unrestricted,"Design, procure, integrate, test, train, deliver, and support C4I radio communications systems for ships including Aegis destroyers/cruisers, amphibious assault ships, carriers, and sealift.",N00421-20-C-0003,$200M - $500M / C-Type / RFP 17-Nov-25 / Award FY26 QTR4,"NAWCAD WOLF / Ship & Air Integrated Warfare Div - C4I / radio comms / surface fleet. Design, procure, integrate, test, train, deliver, and support C4I radio communications systems for ships including Aegis destroyers/cruisers, amphibious assault ships, carriers, and sealift.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
12,T-6/T-34 Contractor Logistics Services Re-Compete,Amentum Services,Forecast / unrestricted,"Follow-on to current T-6 CLS; may include T-34, while T-44 is covered under T-54 CLS.",N61340-19-D-1006 / N61340-20-F-0040,$500M - $1B / SA IDIQ / RFP FY26 QTR4 / Award FY27 QTR3,"PEO(T) / PMA-273 Naval Undergraduate Flight Training Systems - Aircraft CLS / training aircraft. Follow-on to current T-6 CLS; may include T-34, while T-44 is covered under T-54 CLS.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
13,PMA-226 Program Management Support Services Follow-on,Tekla Research,Forecast / small business,Follow-on program/project management support services for PMA-226.,N00421-18-D-0042 / N00421-21-F-0373,$50M - $100M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR3,PEO(T) / Specialized and Proven Aircraft Program Office - Program support / specialized aircraft. Follow-on program/project management support services for PMA-226.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
14,Battlespace Modeling and Simulation Re-Compete,American Electronic Warfare Associates,Forecast / unrestricted,"Modeling, software development, project support, and SME support for Battlespace Division products and activities.",N00421-23-D-0005,$200M - $500M / SA IDIQ / RFP FY27 QTR1 / Award FY28 QTR1,"DAiTA Group / Battlespace Sim & Test Dept - M&S / software / SME support. Modeling, software development, project support, and SME support for Battlespace Division products and activities.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
15,Cyber Warfare Services IDIQ - Consolidation Competition,Resource Management Concepts / MIL Corp,Forecast / TBD set-aside,Planned consolidation of existing contracts into a new competitive Cyber Warfare Department services IDIQ.,N00421-22-F-3000 / N00421-23-D-0021,$200M - $500M / SA IDIQ / RFP FY27 QTR1 / Award FY27 QTR4,DAiTA Group / Cyber Warfare Dept - Cyber warfare / consolidated services. Planned consolidation of existing contracts into a new competitive Cyber Warfare Department services IDIQ.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
16,Contracted Air Services Electronic Warfare Sonobuoy Lot Acceptance Testing,New Requirement,Forecast / unrestricted,"Contractor-owned, contractor-operated aircraft for Sonobuoy Lot Acceptance Testing near San Clemente Island.",New Requirement,$10M - $50M / SA IDIQ / RFP 13-Jan-26 / Award FY26 QTR4,"PEO(T) / PMA-226 Contracted Air Services IPT - CAS / sonobuoy testing. Contractor-owned, contractor-operated aircraft for Sonobuoy Lot Acceptance Testing near San Clemente Island.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
17,"Organic Engineering, Prototyping, and Fabrication",Altus Technical Solutions,Forecast / TBD set-aside,"Organic engineering, prototyping, reverse engineering, environmental testing, antenna repair, lifecycle extension, and production capabilities.",N00421-24-F-0690,$50M - $100M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR1,"NAWCAD WOLF / Rapid Capability Solutions Dept - Rapid engineering / prototyping / oLSI. Organic engineering, prototyping, reverse engineering, environmental testing, antenna repair, lifecycle extension, and production capabilities.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
18,Domestic Program Management Contractor Support Services,Tekla Research,Forecast / small business,Competitive procurement for CSS program-management support for WPM-201.,N00421-18-D-0042 / N00421-20-F-0122,$10M - $50M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR1,PEO(U&W) / WPM-201 Precision Strike Weapons - Weapons PM support. Competitive procurement for CSS program-management support for WPM-201.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
19,Business Intelligence,New Requirement,Forecast / small business,"Data analytics framework for transforming raw data into decision-support insights, visualization, and organizational planning/performance.",New Requirement,$50M - $100M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR1,"NAWCAD WOLF / Integrated Command, Control and Intel Systems Div - Data analytics / decision support. Data analytics framework for transforming raw data into decision-support insights, visualization, and organizational planning/performance.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
20,PMA CSS Competition PMA-261,Precise Systems,Forecast / small business,Program office support for PMA-261.,N00421-18-D-0044 / N00421-20-F-0102,$50M - $100M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR1,PEO(A) / PMA-261 H-53 Heavy Lift Helicopters - Heavy-lift helicopter PM support. Program office support for PMA-261.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
21,PMA-290 Technical Engineering Services Follow-On,Aviation Systems Engineering Corporation,Forecast / TBD set-aside,Follow-on technical engineering services for Maritime Patrol and Reconnaissance program office.,N00178-19-D-7207 / N68335-22-F-3000,$200M - $500M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR2,PEO(A) / PMA-290 Maritime Patrol and Reconnaissance - Air systems technical engineering. Follow-on technical engineering services for Maritime Patrol and Reconnaissance program office.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
22,PMA-265 Contractor Support Services effort,Tekla Research,Forecast / small business,PMA-265-wide contractor support services effort for FY27 and out.,N00421-18-D-0042,$100M - $200M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR2,PEO(T) / PMA-265 F/A-18 and EA-18G - F/A-18 / EA-18G wide CSS. PMA-265-wide contractor support services effort for FY27 and out.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
23,NAWCAD WOLF ASI Technical / Project Management Support,Spalding Consulting,Forecast / small business,"Project management, organizational management, acquisition, admin, and cybersecurity support within ASI portfolio.",N00178-19-D-8547 / N00421-22-F-3011,$10M - $50M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR2,"NAWCAD WOLF / Airborne Systems Integration Div - Airborne systems integration / cyber support. Project management, organizational management, acquisition, admin, and cybersecurity support within ASI portfolio.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
24,Business Enterprise Service Support,Perrygo / PSI Pax / DESI,Forecast / TBD set-aside,"Business operations, integration services, and service desk sustainment for NAWCAD Digital Networks and Applications.",Consolidated N00421-21-F-3004 / N00421-21-F-3003 / N00421-21-F-3002,$100M - $200M / SeaPort / RFP FY26 QTR4 / Award FY27 QTR3,"DAiTA Group / Digital Networks and Applications Dept - Enterprise business / service desk / integration. Business operations, integration services, and service desk sustainment for NAWCAD Digital Networks and Applications.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
25,PMA-213 Naval Air Traffic Management CSS Support,No Info Provided,Forecast / small business,"Program/project management, administrative, financial, and budget support services for PMA-213.",No Info Provided,$50M - $100M / No Info Provided / RFP FY27 QTR1 / Award FY27 QTR2,"PEO(T) / PMA-213 Naval Air Traffic Management Systems - Air traffic management PM support. Program/project management, administrative, financial, and budget support services for PMA-213.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
26,CI&IDS Technical / Project Management Support,PSI Pax,Forecast / small business,"Technical/project management, budget execution, procurement, data management, media, communications, and support across air, ship, shore, air traffic control, range, system/mission/software engineering, and surveillance facility work.",N00178-19-D-8356,$10M - $50M / SeaPort / RFP FY27 QTR1 / Award FY27 QTR2,"NAWCAD WOLF / Combat Integration and Identification Systems Div - Combat integration / identification systems. Technical/project management, budget execution, procurement, data management, media, communications, and support across air, ship, shore, air traffic control, range, system/mission/software engineering, and surveillance facility work.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
27,SAIW Technical / Project Management Support,Spalding Consulting,Forecast / small business,Technical project-management support across SAIW project and division organizational levels.,N00178-19-D-8547,$100M - $250M / SeaPort / RFP FY27 QTR1 / Award FY27 QTR3,NAWCAD WOLF / Ship & Air Integrated Warfare Div - SAIW division-level technical PM. Technical project-management support across SAIW project and division organizational levels.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
28,T-6 Commercial ACI,New Requirement,Forecast / TBD set-aside,Competitive contract for T-6 Commercial Aircraft Conditional Inspection.,New Requirement,$10M - $50M / SA IDIQ / RFP FY27 QTR1 / Award FY27 QTR3,PEO(T) / PMA-273 Naval Undergraduate Flight Training Systems - T-6 conditional inspection. Competitive contract for T-6 Commercial Aircraft Conditional Inspection.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
29,Central Kitting Activity Follow-On,Sierra Management & Technologies,Forecast / TBD set-aside,"Follow-on for Central Kitting Activity located in Orange Park, Florida.",N00178-14-D-7920 / N00421-18-F-3001,$10M - $50M / SeaPort / RFP FY27 QTR1 / Award FY27 QTR4,"Air Systems Group / Air Systems Logistics Dept / Supply Div - Central kitting / supply chain. Follow-on for Central Kitting Activity located in Orange Park, Florida.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
30,College of Test and Evaluation Follow-On,Avian,Forecast / small business,"Comprehensive standardized T&E training and career development across planning, management, execution/reporting, ranges, threats, targets, air vehicles, weapons instrumentation, and modeling/simulation.",N00178-19-D-7206,$10M - $50M / SeaPort / RFP FY27 QTR1 / Award FY27 QTR4,"Naval Test Wing Atlantic / Resources and Operations Office - T&E training / workforce development. Comprehensive standardized T&E training and career development across planning, management, execution/reporting, ranges, threats, targets, air vehicles, weapons instrumentation, and modeling/simulation.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
31,PMA-276 Contractor Support Services,StraCon Services Group,Forecast / small business,Program-management contractor-support follow-on for PMA-276.,N00421-18-D-0054,$50M - $100M / SeaPort / RFP FY27 QTR1 / Award FY28 QTR1,PEO(A) / PMA-276 H-1 Light / Attack Helicopters - H-1 helicopter PM support. Program-management contractor-support follow-on for PMA-276.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
32,WPM-281 Program Management Support,Aviation Systems Engineering Corporation,Forecast / TBD set-aside,Follow-on program management support for Strike Planning and Execution Systems Program Office.,N00421-18-D-0028 / N00421-22-F-0274,$20M - $50M / TBD / RFP FY27 QTR2 / Award FY27 QTR3,PEO(U&W) / WPM-281 Strike Planning and Execution Systems - Strike planning PM support. Follow-on program management support for Strike Planning and Execution Systems Program Office.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
33,Mission Systems Integration,The MIL Corporation,Forecast / TBD set-aside,"Requirements definition, emerging technology identification, rapid design engineering, manufacturing, integration, T&E, installation, certification, maintenance/upgrade, logistics, software development, and ISEA activities.",N00421-24-F-0120,$100M - $250M / SeaPort / RFP FY27 QTR2 / Award FY27 QTR4,"NAWCAD WOLF / Ship & Air Integrated Warfare Div - Mission systems / oLSI integration. Requirements definition, emerging technology identification, rapid design engineering, manufacturing, integration, T&E, installation, certification, maintenance/upgrade, logistics, software development, and ISEA activities.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
34,PMA-274 Program Management CSS Recompete,Precise Systems,Forecast / small business,Program-management contractor-support recompete for PMA-274.,N00421-18-D-0044 / N00421-22-F-0361,$50M - $100M / SeaPort / RFP FY27 QTR2 / Award FY27 QTR4,PEO(A) / PMA-274 Presidential Helicopters - Presidential helicopters PM support. Program-management contractor-support recompete for PMA-274.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
35,IC2&IS Intelligence Communications Support,FSG,Forecast / TBD set-aside,"Research, planning, design, engineering, prototype development, software development, integration, testing, installation, communications architecture, secure VTC, cable plant, SATCOM, facility accreditation, and technical PM support.",N00178-19-D-7649 / N0042-12-3-F3001,$200M - $500M / SeaPort / RFP FY27 QTR2 / Award FY27 QTR4,"NAWCAD WOLF / Integrated Command, Control and Intel Systems Div - Intelligence communications / secure facilities. Research, planning, design, engineering, prototype development, software development, integration, testing, installation, communications architecture, secure VTC, cable plant, SATCOM, facility accreditation, and technical PM support.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
36,PMA-231 PM Support Competitive Follow On,Precise,Forecast / small business,Competitive follow-on award for program-management support.,N00421-18-D-0044 / N00421-22-F-0492,$10M - $50M / SeaPort / RFP FY27 QTR2 / Award FY28 QTR1,PEO(T) / PMA-231 E-2/C-2 Airborne Command & Control - Airborne command and control PM support. Competitive follow-on award for program-management support.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
37,F/O Modeling and Simulation Systems Follow On,American Systems Corporation,Forecast / TBD set-aside,American Modeling and Simulation Support follow-on services contract.,N00178-19-D-7111,$50M - $100M / SeaPort / RFP FY27 QTR2 / Award FY28 QTR1,"Air Systems Group / Operations, Plans and Strategy Office - Modeling and simulation systems. American Modeling and Simulation Support follow-on services contract.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
38,Software Engineering Support Services,American Systems Corporation,Forecast / TBD set-aside,Software systems engineering for NAVAIR aircraft weapon and support systems from concept development through disposal for domestic and allied programs.,N00421-21-D-0035 / N00421-23-F-0735,$200M - $500M / SA IDIQ / RFP FY27 QTR2 / Award FY28 QTR2,Mission Systems Group / NAWCAD Pax / Software Engineering Dept - Software systems engineering. Software systems engineering for NAVAIR aircraft weapon and support systems from concept development through disposal for domestic and allied programs.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
39,Organic Product Development Office ETMS,Amelex,Forecast / TBD set-aside,"Engineering, technical, management, antenna range, environmental simulation/test, prototyping, IT management, cybersecurity, conference/VTC, physical security, facilities, systems acquisition, telecommunications, and visitor-control support.",N00178-19-D-7108 / N00421-23-F-3005,$10M - $50M / SeaPort / RFP FY27 QTR3 / Award FY28 QTR1,"NAWCAD WOLF / Rapid Capability Solutions Dept - Engineering / IT / cyber / facility support. Engineering, technical, management, antenna range, environmental simulation/test, prototyping, IT management, cybersecurity, conference/VTC, physical security, facilities, systems acquisition, telecommunications, and visitor-control support.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
40,AIRWorks LSI Follow-On Support Services,CRL Technologies,Forecast / TBD set-aside,"Engineering, technical, and project-management LSI support for new and improved systems across manned and unmanned aircraft inventory.",N00421-24-D-0005,$250M - $500M / SA IDIQ / RFP FY27 QTR3 / Award FY28 QTR2,"AIRWorks - Lead systems integrator / manned and unmanned aircraft. Engineering, technical, and project-management LSI support for new and improved systems across manned and unmanned aircraft inventory.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
41,PMA-273 Program Management Contractor Support Services Follow On,StraCon,Forecast / small business,Follow-on competitive award for PMA-273 program-management contractor support.,N00421-18-D-0054 / N00421-21-F-0601,$10M - $50M / SeaPort / RFP FY27 QTR3 / Award FY28 QTR2,PEO(T) / PMA-273 Naval Undergraduate Flight Training Systems - Training aircraft PM support. Follow-on competitive award for PMA-273 program-management contractor support.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
42,CAS F&RS / PMRF Helicopters Follow-On Services,Construction Helicopters,Forecast / TBD set-aside,Contracted Air Services Fleet and Range Support helicopters for Pacific Missile Range Facility helicopter services and Hawaiian OPAREA fleet training.,N00421-22-D-0004,$50M - $100M / SA IDIQ / RFP FY26 QTR4 / Award FY27 QTR2,PEO(T) / PMA-226 Contracted Air Services IPT - Contracted air services / PMRF fleet training. Contracted Air Services Fleet and Range Support helicopters for Pacific Missile Range Facility helicopter services and Hawaiian OPAREA fleet training.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
43,Air Vehicle Test and Evaluation Follow On,DCS,Forecast / TBD set-aside,"Follow-on for air vehicle test and evaluation support including planning, execution, range systems, threat/target systems, air vehicle and weapons instrumentation, and modeling/simulation.",N00178-19-D-7484 / N00421-23-F-3004,$200M - $500M / TBD / RFP FY27 QTR3 / Award FY28 QTR3,"Naval Test Wing Atlantic / Resources and Operations Office - Air vehicle T&E / ranges / instrumentation. Follow-on for air vehicle test and evaluation support including planning, execution, range systems, threat/target systems, air vehicle and weapons instrumentation, and modeling/simulation.",High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
44,PMA-272 Program Management Contractor Support Services,StraCon Services Group,Forecast / small business,Program-management contractor-support services for Advanced Tactical Aircraft Protection Systems.,N00421-18-D-0054,$50M - $100M / SeaPort / RFP FY27 QTR1 / Award FY28 QTR1,PEO(T) / PMA-272 Advanced Tactical Aircraft Protection Systems - Aircraft protection systems PM support. Program-management contractor-support services for Advanced Tactical Aircraft Protection Systems.,High,S4,https://news-cdn.orangeslices.ai/wp-content/uploads/2026/07/23055501/NAWCADFY26QTR3LRAF-1.pdf
