ID,Node,Code,Role,Domain,Type,Evidence,IOM Relevance,Status,Confidence,Source Refs,Source URL
11,CGCC-36 DODIN Division,CGCC-36,DODIN Division,Operations,Division,Coast Guard DODIN boundary; NIPRNET and SIPRNET are explicit in legacy IOM scope.,DODIN / network seam,Current office,Medium-high,S1;S2;S40;S41,https://apfs-cloud.dhs.gov/record/73117/public-print/; https://www.dco.uscg.mil/Our-Organization/CGCYBER/; https://govtribe.com/opportunity/federal-forecast/coast-guard-cyber-command-current-operations-cybersecurity-services-dhsforecastf2025070259; https://www.highergov.com/contract-forecast/uscg-cgcyber-future-operations-fuops-support-ser-1131299/
12,CGCC-37 Effects and Protection,CGCC-37,Cyber Effects and Protection Division,Operations,Division,Effects and protection capability boundary; exact IOM scope unresolved in public data.,Potential IOM interface,Current office / unresolved boundary,Medium,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
13,CGCC-AA Assessment and Authorization,CGCC-AA,Assessment and Authorization,Operations,Division / interface,Standardizes Coast Guard A&A processes and interfaces directly with IARMS.,IARMS / RMF seam,Current office,High,S2;S11;S12;S13,https://www.dco.uscg.mil/Our-Organization/CGCYBER/; https://www.washingtontechnology.com/contracts/2025/08/small-business-joint-venture-wins-coast-guard-cyber-contract/407795/; https://alphaomega.com/news/oneomega-wins-160m-u-s-coast-guard-idiq/; https://govtribe.com/award/federal-contract-award/delivery-order-70z04425desd40001-70z04425fcad20001
14,Operations Support,Ops Support,"Admin, budget, security, training, exercises",Operations,Workstream,"Original IOM text named admin, budget/resources, security, and training/exercises.",Direct IOM support scope,Forecast scope,High,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
15,Shantia Allen,CG-HCA,IOM acquisition POC,Acquisition,Official POC,"Official APFS point of contact for acquisition status, RFQ mechanics, and formal routing; public APFS contact lists Shantia.A.Allen@uscg.mil and (571) 614-3267.",Direct opportunity POC,Current named POC,High,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
16,Jared Slizofski,CG-HCA,Alternate IOM acquisition POC,Acquisition,Official POC,Alternate official APFS point of contact for acquisition continuity and release status; public APFS contact lists jared.slizofski@uscg.mil and (703) 313-6939.,Direct opportunity POC,Current named POC,High,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
17,Tanika Posey,CG-HCA,Small business / APFS coordinator,Acquisition,Official POC,Small-business and APFS coordination route; public APFS contact lists tanika.l.posey@uscg.mil and (703) 417-5568.,Small-business route,Current named POC,Medium,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
18,DCS / Systems,DCS,Systems lifecycle enterprise,Systems,Authority,Component acquisition and systems lifecycle authority under Force Design.,Lifecycle governance,Current official,High,S3;S4,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/; https://www.mycg.uscg.mil/News/Article/4226097/uscg-hq-is-reorganizing-to-better-serve-the-nations-finest-fighting-force/
19,RDML Jon P. Hickey,DCS,Component Acquisition Executive / CAO,Systems,Senior leader,"Enterprise acquisition, sustainment, and lifecycle authority.",Acquisition / lifecycle authority,Current named POC,High,S3,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/
20,James L. Knight,DCS,Executive Director for Systems / Deputy CAO,Systems,Senior leader,Cross-domain systems enterprise execution.,Systems execution interface,Current named POC,High,S3,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/
21,Scott M. St. Pierre,PEO C5I / CIO,PEO C5I/Cyber and CIO,Systems,Senior leader,"C5I lifecycle, infrastructure, CIO authority, and oversight of C5ISC.",C5I/Cyber lifecycle authority,Current named POC,High,S3;S4,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/; https://www.mycg.uscg.mil/News/Article/4226097/uscg-hq-is-reorganizing-to-better-serve-the-nations-finest-fighting-force/
22,CG-TECH / DTX,CG-TECH,Technology Readiness / digital transformation organization,Transformation,Interface,"Architecture, data/AI, cyber readiness, and DTX strategy interface.",Cyber readiness / data interface,Current office,High,S8;S10,https://www.uscg.mil/Biographies/Display/Article/4411473/mr-brian-d-campo/; https://www.mycg.uscg.mil/News/Article/4484566/coast-guard-releases-digital-transformation-dtx-strategy/
23,Brian D. Campo,CG-TECH,"Director, Technology Readiness / CDAO",Transformation,Senior leader,"Digital readiness, cyber readiness, architecture, data/AI transformation. Prior Sabre role is public context only.",Technology readiness interface,Current named POC,High,S8;S9;S10,https://www.uscg.mil/Biographies/Display/Article/4411473/mr-brian-d-campo/; https://thebaynet.com/sabre-systems-welcome-two-key-leaders-to-company-html/; https://www.mycg.uscg.mil/News/Article/4484566/coast-guard-releases-digital-transformation-dtx-strategy/
24,C5I Service Center,C5ISC,Delivery command,C5I delivery,Command,"C5I delivery command for transition, service dependencies, engineering, infrastructure, apps, and workforce.",Critical delivery interface,Current official,High,S5;S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Leadership/; https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
25,CAPT Benjamin Goff,C5ISC,Commanding Officer,C5I delivery,Senior leader,C5I delivery dependencies and transition authority.,Delivery command interface,Current named POC,High,S5,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Leadership/
26,Kevin L. Achterberg,C5ISC,Executive Director,C5I delivery,Senior leader,"Orchestrates a C5I workforce above 2,000 personnel.",Workforce / service integration,Current named POC,High,S5,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Leadership/
27,C5I Vendor Relations,C5ISC,Official vendor outreach office,Industry interface,Official channel,Permitted outreach route for capabilities and routing.,Official industry route,Current official channel,High,S7,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Vendor-Outreach/
28,C2PL,C5ISC,Command and Control Product Line,C5I delivery,Product line,"Command, control, and navigation product line interface.",C2 / navigation seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
29,COMPL,C5ISC,Communications Product Line,C5I delivery,Product line,Communications systems interface.,Network / comms seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
30,ISPL,C5ISC,Intelligence Systems Product Line,C5I delivery,Product line,Intelligence systems interface.,Intel systems seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
31,MSSPL,C5ISC,Mission Support Systems Product Line,C5I delivery,Product line,Mission-support applications and incident/user mission interface.,Application seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
32,OISPL,C5ISC,Operations Information Systems Product Line,C5I delivery,Product line,Operations information systems and operational application interface.,Operations app seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
33,UCPL,C5ISC,Unified Communications Product Line,C5I delivery,Product line,End-user and collaboration product line interface.,End-user / collaboration seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
34,ALD,C5ISC,Asset Logistics Division,C5I delivery,Shared service,"Asset, finance, logistics, and support dependencies.",Asset / logistics seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
35,BOD,C5ISC,Business Operations Division,C5I delivery,Shared service,"Business rhythm, governance, service management, and transition governance.",Business operations seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
36,ESD,C5ISC,Engineering Services Division,C5I delivery,Shared service,"Engineering, configuration, lifecycle, and acceptance-test dependencies.",Engineering / configuration seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
37,ISD,C5ISC,Infrastructure Services Division,C5I delivery,Shared service,"Networks, cloud, infrastructure, tools, and platform availability.",Infrastructure / tools seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
38,WFD,C5ISC,Workforce and Facilities Division,C5I delivery,Shared service,"Workforce, detached-duty stations, facilities, and readiness support.",Workforce / facilities seam,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
39,Current IOM incumbent / bridge,Unresolved,CuOps / FuOps / Ops Support performer,Collection gap,Public gap,No reliable public bridge or successor after last direct public NOSC order ending Jan 2024.,Critical transition gap,Public gap,High,S23;S24;S40;S41,https://www.usaspending.gov/award/CONT_AWD_70Z07922FCYBR0002_7008_GS35F0579P_4730; https://www.highergov.com/idv/GS35F0579P/; https://govtribe.com/opportunity/federal-forecast/coast-guard-cyber-command-current-operations-cybersecurity-services-dhsforecastf2025070259; https://www.highergov.com/contract-forecast/uscg-cgcyber-future-operations-fuops-support-ser-1131299/
40,USCG / CG-C5I,CG-C5I,APFS component / C5I buyer context,Acquisition,Forecast component,"The current APFS record lists the component as USCG/CG-C5I, tying the IOM forecast to the C5I acquisition/sustainment enterprise.",Forecast-owning component,Current official,High,S1,https://apfs-cloud.dhs.gov/record/73117/public-print/
41,Master Chief Francis G. Tatu,CGCYBER,Command Master Chief,Operations,Senior enlisted leader,CGCYBER page identifies Master Chief Frank G. Tatu Jr. as Command Master Chief and principal advisor to the CGCYBER Commander on cyber-related missions impacting workforce matters and policies.,Cyber workforce / readiness interface,Current named POC,High,S2,https://www.dco.uscg.mil/Our-Organization/CGCYBER/
42,Michael J. Haycock,DCS,Director of Systems Integration and Chief Engineer,Systems,Senior leader,DCS leadership page identifies Haycock as Director of Systems Integration and Chief Engineer responsible for oversight across Coast Guard acquisition and sustainment programs.,Systems engineering / lifecycle interface,Current named POC,High,S3,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-Acquisitions-CG-9/About-Us/Leadership/
43,CG-914 Office of C5I Contracting and Procurement,CG-914,C5I contracting and procurement office,C5I delivery,Contracting office,"C5ISC organization graphic identifies CG-914 Office of C5I Contracting and Procurement, formerly CPD, alongside shared-services divisions.",C5I contracting / procurement interface,Current office,High,S6,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Organization/
44,Master Chief Anitra Keith,C5ISC,C5ISC Command Master Chief,C5I delivery,Senior enlisted leader,C5ISC leadership page identifies Master Chief Anitra Keith as senior enlisted advisor to the C5ISC Commander on enlisted personnel matters.,C5I workforce / personnel interface,Current named POC,High,S5,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6-/C5ISC/Leadership/
45,Cyber Shield 2022 exercise interface,CGCYBER / Cyber Shield,Joint cyber defense exercise participation,Operations,Exercise / training interface,"DVIDS reported about 25 CGCYBER cyber and computer security specialists participating in Cyber Shield 2022, a DoD unclassified cyber defense exercise focused on incident response and internal defensive measures.",Training / exercises / readiness seam,Dated public exercise signal,Medium-high,S47,https://www.dvidshub.net/news/423115/coast-guard-participates-national-guards-cyber-shield-2022-dods-largest-unclassified-cyber-defense-exercise
46,Lt. Ben Greene,CGCYBER,Cyber Protection Team participant / quoted officer,Operations,Named exercise contact,DVIDS quoted Coast Guard Lt. Ben Greene of CGCYBER saying Cyber Shield gave the Cyber Protection Team a unit opportunity to counter cyber adversaries in a realistic training scenario.,Cyber Protection Team / exercise-readiness signal,Dated named POC,Medium,S47,https://www.dvidshub.net/news/423115/coast-guard-participates-national-guards-cyber-shield-2022-dods-largest-unclassified-cyber-defense-exercise
