ID,Structure Domain,Hierarchy Path,Org Level,Org Code,Organization / Unit,Name / Public Node,Exact Public Role,Status Class,Status As Of,AA Relationship,Specific Application Arsenal Relevance,Authority / Engagement Posture,Public Email,Public Phone,Confidence,Primary Source URL,Secondary Source URL,Source Date,Validation / Caveat
11,NIWC PAC acquisition,NIWC Pacific > Contracts,Department / function,,Contracts,Sharon M. Pritchard,Head of Contracts,Current,2026-08-31,Direct – procurement oversight,Senior NIWC Pacific contracting policy and portfolio lead; not listed as an AA RFP POC.,Do not route AA questions here unless the solicitation team redirects them.,sharon.m.pritchard.civ@us.navy.mil,619-553-4492,A / High,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,https://sam.gov/opp/9b41ad1bb80c4c0185f42811866b291b/view,2026-05-07 / 2026-08-31,"Email/phone were published for the NIWC PAC CSO, not the AA RFP."
12,NIWC PAC acquisition,NIWC Pacific > Office of Small Business Programs / AA acquisition team,Advisory + solicitation POC,,OSBP / N66001-26-R-3507,Jose M. Neto,Acting OSBP / Small Business Professional (May 2026); secondary AA RFP POC,Current,2026-08-31,Direct – procurement,Published secondary POC for the active AA solicitation and small-business context.,Authorized secondary RFP contact; follow SAM/PIEE and final Section L.,jose.m.neto.civ@us.navy.mil,619-553-6415,A / High for RFP POC; B for OSBP title,https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,2026-08-31 / 2026-05-07,Status detail: Current (RFP channel); OSBP title needs revalidation.
13,NIWC PAC industry interface,NIWC Pacific > Office of Small Business Programs,Advisory office,,OSBP,Nick Giacalone,"Deputy Director, NIWC Pacific Office of Small Business Programs",Dated / revalidate,2025-08-27,Industry interface / indirect,Permissible general industry and small-business engagement path; no published AA procurement authority.,Not a substitute for RFP Q&A.,,,B / Medium,https://www.dvidshub.net/news/546685/navwar-fosters-collaboration-and-engagement-with-small-business-2025-gold-coast-conference,,2025-08-27,Status detail: Current-recent; revalidate.
14,NIWC PAC public interface,NIWC Pacific > Corporate Communications,Center staff office,,Public Affairs,Darian L. Wilson,Corporate Communications and Public Affairs Director,Current,2026-05-21,Public information / indirect,"Public-information and media channel; not technical, program, or procurement authority.",Use only for public affairs / media requests.,darian.wilson.civ@us.navy.mil,619-306-8663,A / High,https://www.dvidshub.net/news/565973/niwc-pacific-welcomes-de-soto-bids-farewell-mckenna,,2026-05-21,
15,NIWC PAC public interface,NIWC Pacific > Corporate Operations > Protocol / Command Visits,Branch / office,85400,Protocol / Command Visits,Charissa Newkirk,Protocol Officer / Command Visits,Current,2026-09-02,Administrative access / none,Senior-visitor protocol and command-visit administration only.,Not a technical or procurement contact.,,619-553-2722,A / High,https://www.ndia-sd.org/event/niwc-pac-executive-networking-forum-september-2026/,https://www.niwcpacific.navy.mil/Connect/Visitors/,2026-09-02,
16,NIWC PAC public interface,NIWC Pacific > Visitor Center,Role mailbox,,Visitor Center,NIWC PAC Visit Request,Official visitor-access mailbox,Official channel,2026-09-02,Administrative access / none,Base-access administration; coordinate only after a Government host authorizes a visit.,Not an engagement or procurement channel.,niwc_pac_visitrequest@us.navy.mil,619-553-3203 option 3,A / High,https://www.niwcpacific.navy.mil/Connect/Visitors/,,Accessed 2026-09-02,Status detail: Role mailbox.
17,NIWC PAC public interface,NIWC Pacific,Role channel,,General Information,NIWC Pacific General Information,Public switchboard,Official channel,2026-09-02,Administrative / none,General routing only; no AA authority.,Not an RFP Q&A channel.,,619-553-2717,A / High,https://www.niwcpacific.navy.mil/contact/,,Accessed 2026-09-02,Status detail: Role channel.
18,AA chain & adjacent ecosystem,NIWC Pacific > Command & Control Department,Department,53,Command & Control Department,Scott Crellin,Command and Control Department Head,Current,2026-05-07,Direct – technical chain,Highest publicly named NIWC Pacific department leader above AA; the 2026 acquisition deck places the AA RFP in Department 53.,Technical/executive influence; not named solicitation authority.,,,A / High,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,,2026-05-07,
19,AA chain & adjacent ecosystem,NIWC Pacific > Code 53 > Command and Control Systems Division,Division,532 / 53200,Command and Control Systems Division,John Barrie,"Division Head, Code 532",Current,2026-05-20,Direct – technical chain,"Closest publicly named current technical leader; the division portfolio explicitly includes AA, OSA, MAGIC, TAF, GALATEA/OPE, and related digital-ecosystem capabilities.",Technical division leader; not an authorized RFP contact unless an amendment says otherwise.,,,A / Very high,https://www.ndia-sd.org/wp-content/uploads/2026/06/532-Overview-Brief.pdf,https://www.ndia-sd.org/event/sb-committee-meeting-may-20/,2026-05-20,
20,AA chain & adjacent ecosystem,NIWC Pacific > Code 53 > Engineering staff,Department technical staff,53,Command & Control Department,"John Wood, PhD",Command and Control Department Lead Systems Engineer,Current,2026-07-22,Technical governance,Department-wide systems-engineering context; no public source ties him specifically to AA.,Technical-context contact; not an RFP decision-maker.,,,A for title; C for AA specificity,https://electrical.sdsu.edu/about/industry-advisory-board,https://www.linkedin.com/in/johnwoodphd,Page current 2026-07-22,
21,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem > Application Arsenal,Program / project,53200 functional; child code not public,Application Arsenal,Public gap — current AA Program Manager not identified,AA Program / Project Manager,Public gap,2026-09-02,Direct – technical chain,"Day-to-day Government program ownership would be highly material, but no current public source names the individual.","Do not infer from incumbent personnel, historical PMs, or adjacent programs.",,,A / High for gap,https://www.ndia-sd.org/wp-content/uploads/2026/06/532-Overview-Brief.pdf,https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view,2026-05-20 / 2026-08-31,Status detail: Current function / incumbent unresolved.
22,AA chain & adjacent ecosystem,Code 53200 > Application Arsenal,Contract oversight,53200,Application Arsenal,Public gap — current AA COR not identified,Contracting Officer’s Representative,Public gap,2026-09-02,Direct – contract execution,"Current COR would govern post-award technical administration, but the public RFP record does not identify the person.",Do not infer or approach candidates as the COR.,,,A / High for gap,https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view,,2026-08-31,Status detail: Current function / incumbent unresolved.
23,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem,Technical Capability Area,No public numeric child,Navy Digital Ecosystem,Public gap — TCA lead not published,"Functional TCA covering NRD&E, GALATEA/COSMOS, OSA, OPE, AA, MAGIC, TAF, SMIO, and UNACORN",Public gap,2026-05-20,Direct – technical chain,Current functional home for AA in the Code 532 overview.,Do not assign a numeric subcode or named lead without new evidence.,,,A / High,https://www.ndia-sd.org/wp-content/uploads/2026/06/532-Overview-Brief.pdf,,2026-05-20,Status detail: Current function / incumbent unresolved.
24,AA chain & adjacent ecosystem,Code 53200 > C2 Maritime System Lifecycle Engineering,Technical Capability Area,No public numeric child,C2 Maritime System Lifecycle Engineering,Public gap — TCA lead not published,Functional TCA covering MTC2 and other C2 systems,Public gap,2026-05-20,Adjacent interface,MTC2 and related OTA application-deployment work create a direct delivery/integration seam with AA.,Technical adjacency; no procurement authority inferred.,,,A / High,https://www.ndia-sd.org/wp-content/uploads/2026/06/532-Overview-Brief.pdf,,2026-05-20,Status detail: Current function / incumbent unresolved.
25,AA chain & adjacent ecosystem,Code 53200 > C2 Multi-Level Security Systems,Technical Capability Area,No public numeric child,C2 Multi-Level Security Systems,Public gap — TCA lead not published,"Functional TCA covering PDAS, NESA, and JCDX",Public gap,2026-05-20,Security / adjacent,Cross-domain and multi-level-security dependencies can constrain AA distribution and integration.,Technical adjacency; no procurement authority inferred.,,,A / High,https://www.ndia-sd.org/wp-content/uploads/2026/06/532-Overview-Brief.pdf,,2026-05-20,Status detail: Current function / incumbent unresolved.
26,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem > OSA,Role mailbox,53200 functional,Overmatch Software Armory,OSA Concierge,Official OSA information and onboarding mailbox,Official channel,2026-09-02,Direct – technical ecosystem,"Best current public team-level contact; OSA officially comprises OSA Tools, ACS, staging environments, and Application Arsenal.",Functional information contact only; not acquisition authority.,OSA_Concierge@us.navy.mil,,A / Very high,https://www.niwcpacific.navy.mil/Technology/Overmatch-Software-Armory/,,Accessed 2026-09-02,Status detail: Role mailbox.
27,AA chain & adjacent ecosystem,Code 53200 > ACS / Fleet Integration,Technical SME,532 functional,Agile Core Services,Johnathan Gorbea,NIWC Pacific IT specialist and Agile Core Services subject-matter expert,Dated / revalidate,2024-10-17,Direct – technical ecosystem,Publicly identified ACS expert for fleet training and implementation; ACS is a sibling/core dependency of AA within OSA.,Technical influencer; not an RFP channel.,,,A / High dated,https://www.dvidshub.net/news/483389/navwar-empowers-fleet-sailors-and-first-responders-with-custom-systems-training,,2024-10-17,Status detail: Dated role; revalidate.
28,AA chain & adjacent ecosystem,Code 53200 > C2 Maritime SLE > MTC2,Lead engineer,532 functional,Maritime Tactical Command and Control,Michael Lee,NIWC Pacific MTC2 Lead Engineer,Dated / revalidate,2024-03-14,Adjacent interface,Led adjacent over-the-air application deployment work with PMW 150/160; strong AA delivery-interface knowledge.,Technical influencer; not an RFP channel.,,,A / High dated,https://www.niwcpacific.navy.mil/Media/Press-Releases/Article-Display/Article/3707748/niwc-pacific-empowers-sailors-to-perform-first-sailor-capable-install/,,2024-03-14,Status detail: Dated role; revalidate.
29,AA chain & adjacent ecosystem,NIWC Pacific > Digital transformation / CSA lineage,Technical lead,,Digital Transformation / Collaborative Software Armory lineage,Garret Okamoto,NIWC Pacific digital transformation lead; public CSA demonstration lead,Historical,2019-05-20,Historical lineage,Public Government node in the automation and software-armory lineage that matured into OSA/ACS/AA.,Historical technical context only.,,,A / High historical,https://www.dvidshub.net/news/printable/321208,,2019-05-20,Status detail: Historical / lineage.
30,AA chain & adjacent ecosystem,Code 53200 > GALATEA / COSMOS,Project,53200 functional,COSMOS,Stephen Pease,"Project Manager, NIWC Pacific COSMOS",Current,2026-02-11,Adjacent technical ecosystem,COSMOS/GALATEA is in the current Navy Digital Ecosystem portfolio alongside AA and OSA.,Adjacent project lead; not AA procurement authority.,,,A / High,https://www.westconference.org/WEST26/Public/sessions.aspx?ID=116691&View=Sessions,,2026-02-11,
31,Code 532 lineage,Code 53 > Command and Control Systems Division,Division,532,Command and Control Systems Division,Chris Johnson,Former division head; led Collaborative Software Armory / OSA lineage,Historical,2024-03-14,Historical lineage,Direct OSA and division leadership continuity; superseded by John Barrie by May 2026.,Historical technical context only.,,,A / Very high historical,https://www.dair.nps.edu/bitstream/123456789/4857/1/SYM-AM-23-088.pdf,https://www.niwcpacific.navy.mil/Media/Press-Releases/Article-Display/Article/3707748/niwc-pacific-empowers-sailors-to-perform-first-sailor-capable-install/,2023-04-30 / 2024-03-14,Status detail: Historical / superseded.
32,Code 532 lineage,Code 53 > Code 532,Division staff,532,Command and Control Systems Division,David Jenkins,Deputy for Business Development; earlier Deputy for Project Development,Historical,2023-04-30,Historical technical ecosystem,Publicly discussed OSA IL6 cloud use and C2 software-system development.,Business-development title does not establish contracting authority.,,,A / High historical,https://www.dair.nps.edu/bitstream/123456789/4857/1/SYM-AM-23-088.pdf,https://www.navy.mil/DesktopModules/ArticleCS/Print.aspx?Article=2710817&ModuleId=523&PortalId=1,2023-04-30 / 2021-07-28,Status detail: Historical / last verified 2023.
33,Code 532 lineage,Code 532 > Navy Digital Ecosystem > OSA Tools,Project,532 functional,OSA Tools,Matt O’Neil,"Project Manager, Overmatch Software Armory Tools",Historical,2021-07-28,Historical technical ecosystem,Direct OSA toolchain; AA and ACS are sibling OSA components.,Historical technical context only.,,,A / High historical,https://www.dvidshub.net/image/6753882/navwar-launches-first-secret-level-devsecops-pipeline,,2021-07-28,Status detail: Historical / last verified 2021.
34,Code 532 lineage,Code 532 > CSA / MAGIC / Application Arsenal,Project management,532 functional,CSA / MAGIC / Application Arsenal,Johanna L. Flores,"Deputy Project Manager for Collaborative Software Armory, MAGIC, and Application Arsenal",Historical,2021-07-23,Historical – direct AA,Direct historical Government AA/OSA project-management continuity.,Historical context; not evidence of a current role.,,,A / High historical,https://www.dvidshub.net/image/6753882/navwar-launches-first-secret-level-devsecops-pipeline,https://nara.getarchive.net/media/supporting-a-diverse-navy-requires-a-diverse-workforce-75a7d8,2021-07-23 / 2020-06-29,
35,Code 532 lineage,Code 532 > Application Arsenal,Project management,532 functional,Application Arsenal,Bridget Lee,Former Deputy Project Manager to Senior Program Manager for Application Arsenal (self-reported),Historical,Profile accessed 2026-09,Historical – direct AA,Direct historical AA project-management experience.,Secondary/self-reported evidence; not a current Government POC.,,,B / Medium,https://www.linkedin.com/in/bridgetrushton,,Accessed 2026-09,Do not treat as current Government authority.
36,Code 532 lineage,SSC Pacific > Command & Intelligence Division,Historical division,53210 (historical only),Command and Intelligence Division,Ron Lambrecht,"Deputy for Program Development, SSC Pacific Code 532",Historical,2011,Historical C2/CANES antecedent,C2RPC/CANES modernization antecedent; no direct AA claim.,Historical only; do not map 53210 onto the current Code 53200 organization.,,,A / High historical,https://dair.nps.edu/bitstream/123456789/497/1/SYM-AM-11-095.pdf,https://www.dodccrp.org/events/16th_iccrts_2011/papers/033.pdf,2011,
37,NIWC PAC deep-code map,Code 53 > Enterprise Engineering / T&E / Certification,Division / competency,531,"Enterprise Engineering, Test, Evaluation, and Certification competency",Public gap — leader/currentness not established,Division / competency lead,Forecast / dated,Workbook metadata 2023,Adjacent technical interface,"Cross-system engineering, test, IV&V, and certification can affect AA integration and acceptance.",Forecast structure only; no person or AA authority inferred.,,,B / Medium,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,"Status detail: Dated forecast function / incumbent unresolved. Downloaded in 2026, but the workbook metadata is dated; not a current org chart."
38,NIWC PAC deep-code map,Code 53 > Business / Enterprise Systems,Division,534,Business / Enterprise Systems lineage,Public gap — leader/currentness not established,Division lead,Forecast / dated,Workbook metadata 2023,Low AA adjacency,Enterprise/business systems code appears in a dated forecast workbook; no direct AA ownership evidenced.,Do not infer a current title or leader beyond the dated code.,,,B / Medium,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Dated forecast function / incumbent unresolved.
39,NIWC PAC deep-code map,Code 53 > Tactical Systems Integration & Interoperability,Division,535,Tactical Systems Integration & Interoperability,Public gap — leader/currentness not established,Division lead,Forecast / dated,Workbook metadata 2023,Adjacent technical interface,"Data links, testing, integration, and interoperability are downstream/adjacent seams for AA-delivered applications.",Dated forecast structure; no AA authority inferred.,,,B / Medium,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Dated forecast function / incumbent unresolved.
40,NIWC PAC deep-code map,Code 53 > Code 535 > Command and Control Processor,Branch / unit,53523,Command and Control Processor software engineering,Public gap — lead/currentness not established,Branch / unit lead,Forecast / dated,Workbook metadata 2023,Adjacent technical interface,"Deep numbered C2 subunit found in the dated LRAE outside 532; adjacent tactical C2 software environment, not AA owner.",Dated forecast structure; validate against a live action.,,,A for dated code; currentness unverified,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Dated forecast function / incumbent unresolved.
41,NIWC PAC deep-code map,Code 53 > C2 Technology & Experimentation,Division,536,C2 Technology & Experimentation lineage,Public gap — leader/currentness not established,Division lead,Forecast / dated,Workbook metadata 2023,Adjacent technical interface,"Command-center design, engineering, and experimentation are adjacent to AA operational environments.","Do not infer a current title, reporting line, or AA authority.",,,B / Medium,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Dated forecast function / incumbent unresolved.
42,NIWC PAC deep-code map,NIWC Pacific > FIELD,Department,40,"Fleet Installation, Engineering and Logistics",Public gap — current department head not identified,FIELD Department Head,Public gap,2026-09-02,Fleet deployment / adjacent,"Installation, in-service engineering, logistics, and sustainment are critical downstream interfaces for AA deployment.",Not an RFP channel.,,,A / High for unit,https://www.niwcpacific.navy.mil/About/Departments/Fleet-Installation-Engineering-and-Logistics/,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,2026-05 / accessed 2026-09-02,Status detail: Current function / incumbent unresolved.
43,NIWC PAC deep-code map,Code 40 > Fleet Modernization & Installation,Division / unit,42100,Fleet Modernization & Installation,Public gap — leader not identified,Division / unit lead,Forecast / dated,2025,Fleet deployment / adjacent,Fleet modernization and installation interface for AA-hosted capabilities.,Structure only; no AA authority inferred.,,,B / Medium-high,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,2025 forecast,Status detail: Current forecast function / incumbent unresolved.
44,NIWC PAC deep-code map,Code 40 > 42100 > Product & Systems Production,Branch,42150,Product & Systems Production Branch / NIEF,Public gap — branch lead not identified,Branch lead,Public gap,2025-05,Fleet deployment / adjacent,"Production, PITCO/GAT, and NIEF work are adjacent to CANES/AA installation and integration.",Structure only; not AA procurement authority.,,,A / High,https://sam.gov/opp/b7b6bdc8d54c4328b26df24948ce6371/view,,2025-04/05,Status detail: Current function / incumbent unresolved.
45,NIWC PAC deep-code map,Code 40 > Systems Support & Logistics,Division / unit,431,Systems Support & Logistics,Public gap — current leader not identified,Division / unit lead,Public gap,2020,Fleet sustainment / adjacent,Parent structure for the restoration/sustainment branch that supports fleet hardware environments adjacent to AA.,Dated structure only; no current leader or AA authority inferred.,,,A for dated code; currentness unverified,https://sam.gov/opp/613111b2abac4afb850f68bbbda474c5/view,,2020,Status detail: Dated structure / incumbent unresolved.
46,NIWC PAC deep-code map,Code 40 > Systems Support & Logistics > Restoration Branch,Branch / laboratory,43140,Restoration Branch / RESTORE Lab,Ray Provost,RESTORE Lab Director,Dated / revalidate,2025-06-24,Fleet sustainment / adjacent,Hardware restoration and sustainment adjacency; no direct AA role.,Adjacent technical contact; not AA procurement authority.,,,A for role; B for code mapping,https://www.niwcpacific.navy.mil/Media/Press-Releases/Article/4224215/niwc-pacific-teams-enhance-joint-capabilities-at-balikatan-2025/,https://sam.gov/opp/613111b2abac4afb850f68bbbda474c5/view,2025-06-24 / 2020,Status detail: Current-recent.
47,NIWC PAC deep-code map,NIWC Pacific > Communications & Networks,Department,55,Communications and Networks,No permanent head publicly named,C&N Department Head,Public gap,2026-07-17,CANES/network adjacency,"Owns communications, tactical and enterprise networks, and PNT capabilities that form upstream/downstream interfaces to CANES and AA.",Do not treat a former head or applicant as current.,,,A / High for vacancy,https://www.usajobs.gov/job/875297200,https://www.niwcpacific.navy.mil/About/Departments/Communications-and-Networks/,Position advertised 2026-07-02 to 2026-07-17,Status detail: Vacancy / selection not public.
48,NIWC PAC deep-code map,Code 55 > Tactical Networks Division,Division,551,Tactical Networks Division,Michael Winslow,Historical Tactical Networks Division Head,Historical,2018,CANES/network adjacency,Historical tactical-network leadership; WEST 2026 lists him as a FIELD engagement representative but not as current 551 head.,Do not present as current division head.,,,A / High historical,https://www.ndia-sd.org/wp-content/uploads/2018/01/NDIA-Luncheon-Jan-2018_Hartzog_FINALv2_web.pdf,https://www.westconference.org/WEST26/Public/sessions.aspx?ID=116691&View=Sessions,2018 / 2026-02,
49,NIWC PAC deep-code map,Code 55 > 551 > Afloat Network Design & Architecture,Branch,55130,Afloat Network Design & Architecture,Public gap — branch lead not identified,Branch lead,Public gap,2019,CANES/network adjacency,Afloat network architecture is an upstream host-environment dependency for AA.,Historical/datetime-limited structure; no current leader inferred.,,,B / Medium-high dated,https://www.highergov.com/contract-opportunity/afloat-network-design-architecture-network-test-in-n66001-19-r-0036-p-0336d/,,2019,Status detail: Dated structure / incumbent unresolved.
50,NIWC PAC deep-code map,Code 55 > 551 > Network Test & Integration,Branch,55190,Network Test & Integration,Public gap — branch lead not identified,Branch lead,Public gap,2019,CANES/network adjacency,Network test and integration are direct host-environment seams for AA-delivered software.,Historical/datetime-limited structure; no current leader inferred.,,,B / Medium-high dated,https://www.highergov.com/contract-opportunity/afloat-network-design-architecture-network-test-in-n66001-19-r-0036-p-0336d/,,2019,Status detail: Dated structure / incumbent unresolved.
51,NIWC PAC deep-code map,Code 55 > Communications Division,Division,552,Communications Division,Phillip Juarez,Historical Communications Division Head,Historical,2018,Network adjacency,Historical division leadership; no direct AA role.,Historical only.,,,A / High historical,https://www.ndia-sd.org/wp-content/uploads/2018/01/NDIA-Luncheon-Jan-2018_Hartzog_FINALv2_web.pdf,,2018,
52,NIWC PAC deep-code map,Code 55 > 552 > Software Defined Radios,Branch,55260,Software Defined Radios Branch,William J. Brickner Jr.,Historical Branch Head,Historical,2019,Low AA adjacency,Radio/networking lineage only; no direct AA role.,Historical only.,,,A / High historical,https://www.jtnc.mil/About/Leadership/Bio-Article-View/Article/2176691/mr-william-j-brickner-jr/,,2019,
53,NIWC PAC deep-code map,Code 55 > Enterprise Communications & Networks Division,Division,553,Enterprise Communications & Networks Division,Public gap — current division head not identified,Division Head,Public gap,2026,Enterprise network adjacency,Enterprise network engineering and services may support shore/enterprise interfaces to AA and OSA.,"Current procurement proves structure, not current leader.",,,A / High for unit,https://sam.gov/workspace/contract/opp/f6faec7233fa475dba6ee9f89499ddf0/view,,2025–2026,Status detail: Current function / incumbent unresolved.
54,NIWC PAC deep-code map,Code 55 > Enterprise Communications & Networks Division,Historical division leadership,553,Enterprise Communications & Networks Division,Clark Hendrickson,Historical Enterprise Communications & Networks Division Head,Historical,2018,Enterprise network adjacency,Historical Code 553 leadership; included for parity with the same-source 551 and 552 lineage.,Historical only; do not present as current.,,,A / High historical,https://www.ndia-sd.org/wp-content/uploads/2018/01/NDIA-Luncheon-Jan-2018_Hartzog_FINALv2_web.pdf,,2018,
55,NIWC PAC deep-code map,Code 55 > 553 > Technical Staff,Technical staff code,55306,Enterprise C&N Technical Staff,Public gap — lead not identified,Technical staff lead,Public gap,2026,Enterprise network adjacency,Division technical governance; indirect AA relevance.,No person or AA authority inferred.,,,A / High for unit,https://sam.gov/workspace/contract/opp/f6faec7233fa475dba6ee9f89499ddf0/view,,2025–2026,Status detail: Current function / incumbent unresolved.
