ID,Opportunity,Priority,Pursuit Lane,Focus,Customer / Buyer,Opportunity Type,Due Date,Notice ID,Vehicle / Access,Value / Timing,Bid Posture,Sabre Fit / Why Winnable,Next Action,Confidence,Source URL
11,Kessel Run DevSecOps CSO,P3,CSO shaping / software factory,Software and DevSecOps commercial solutions,AFLCMC Digital / Kessel Run,CSO / Special Notice,2027-11-29,FA8730-22-S-C001,Kessel Run CSO,Open umbrella CSO,Capability-entry / partner path,"Useful market entry and software-factory alignment, but needs a specific solution concept to become a real pursuit.",Watch focused AOIs and decide if Sabre has a differentiated DevSecOps or mission-app insertion concept.,Medium,https://sam.gov/opp/b208e33b8dcd49088d751842a5f462aa/view
12,USSOCOM PEO-SDA Commercial Solutions Opening,P3,CSO shaping / SOF apps,SOF digital applications and agile capability insertion,USSOCOM PEO SOF Digital Applications,CSO / Special Notice,2026-12-01,H9241525X0001,USSOCOM PEO-SDA CSO,Open through Dec 2026,Concept-first / partner path,"Interesting DoW digital-app expansion surface, but only worth action with a specific mission application or teammate.",Identify one concrete SOF digital-app concept or partner before investing proposal energy.,Medium,https://sam.gov/opp/ff41905dc0864f419c8f60b673b6292b/view
13,CTAS: Malign Influence Actors and Malicious Cyber Threat Analysis Services,P2,Short-fuse cyber-intel gate,"Threat analysis, malign influence, malicious cyber threat services",16th Air Force / Air Combat Command,Special Notice / RFI,2026-09-09,CTAS_RFI,RFI; acquisition path TBD,Very short response clock,No-bid unless cyber/intel partner is ready,"Relevant cyber/intel adjacency, but Sabre should not lead unless it can immediately anchor threat-analysis credibility.",Only respond if a named cyber/intel partner and past-performance proof are already available.,Medium,https://sam.gov/opp/008f6fe2b0924f4f937af3a62d08666d/view
14,NIWC Pacific C4ISR / IO / Cyberspace / IT Research BAA,P3,BAA shaping / NIWC,"C4ISR, information operations, cyberspace operations, IT systems, quantum/cryogenics research",NIWC Pacific,Solicitation / BAA,2027-08-13,N6600126S4701,BAA white papers / proposals,Open through Aug 2027,Shape / white paper,"Direct NIWC PAC expansion lane beyond AA; useful for shaping and technical entry, not a classic labor pursuit.",Select one Sabre-relevant concept and write a short white-paper gate memo.,Medium-High,https://sam.gov/opp/6c68a7b28d6b478c829ce00480df195d/view
15,"NIWC Pacific NEN IPT Engineering, Integration, and PM Support",P2,Teaming gate / NIWC,"Network engineering, integration, and program management support",NIWC Pacific,Presolicitation / Advance Notice,No response date listed,N66001-26-R-3506_A,Restricted to active SeaPort-NxG Small Business MAC holders,Advance notice,Teaming lead / eligibility gate,"Direct NIWC PAC engineering/PM lane, but the posted restriction means Sabre must validate SeaPort posture or team access before calling it winnable.",Confirm whether Sabre or a target teammate has the required SeaPort-NxG Small Business MAC access.,Medium,https://sam.gov/opp/2f69f05185354fb8bf9318676d795213/view
16,NGC2 Commercial Solutions Opening,P3,CSO watch / C2 software,Next Generation Command and Control software and capability insertion,Army Contracting Command / ACC-APG,CSO / Special Notice,2027-05-16,W15P7T-25-S-0001,NGC2 CSO; current scalable software call closed,Umbrella CSO remains active,Monitor / concept queue,"C2/software modernization surface worth monitoring, but not a near-term response unless a new call opens that matches Sabre.",Keep on watchlist and revisit when new calls are posted.,Low-Medium,https://sam.gov/opp/3e89ac100b284b6b907f826ea904a4cc/view
17,CGCYBER IOM,P1,Forecast pursuit / USCG cyber,"Integrated Operations Management for CGCYBER CuOps, FuOps, and Ops Support",Coast Guard Cyber Command / CG-HCA,APFS Forecast,2026-09-23 forecast RFQ,F2026073117,GSA Schedule / exact SIN pool unresolved,>$100M / FFP / Q1 FY27 award signal,Conditional prime pursuit,"Sabre is credible at scale, but must close recent 24x7 Coast Guard SOC/CSSP proof with a named operational partner.","Resolve incumbent bridge, eBuy/SIN pool, partner anchor, and FFP workload model.",High,https://www.adamboas.com/research/cgcyber-iom/
18,CCS Meadowlands Systems,P2,Teaming diligence / SSC systems,"Special-program technical, logistics, software, hardware, production, and integration support",Space Systems Command / Special Programs Directorate,Sources Sought,2026-10-03,FA881926RFI-0001,Market research; acquisition path and clearance gate unresolved,Near-term sources sought; production/integration scope,Team / serious diligence,"Potential systems/software integration lane if Sabre can bring cleared engineering, software, logistics, and production-support proof or a stronger space teammate.","Pull attachments, identify incumbent/special-program access constraints, and decide whether Sabre is prime-capable or only teammate-relevant.",Medium,https://sam.gov/opp/b39d751a59214df5b4b18b927074ba73/view
19,Joint Targeting Toolbox Continued Sustainment,P1,Immediate RFI / C2 software,C2 targeting software sustainment for deployed joint/allied command-and-control users,AFLCMC Digital / Kessel Run,Sources Sought,2026-09-07,FA8730-JTTCP-RFI,Market research; follow-on path unresolved,Very short-fuse sustainment signal,Respond if software sustainment proof is ready,Actual software sustainment and C2 mission-app fit; the issue is response speed and whether Sabre has credible Kessel Run/targeting adjacency.,"Immediate go/no-go: identify reusable software-sustainment past performance, C2 mission-app story, and partner need by end of day.",Medium-High,https://sam.gov/opp/d4146f0694c04be98b7f97a96f50df13/view
20,FUSION Support,P2,Immediate quote / Navy software,"System analysis, software and systems engineering, application customization, and technical writing",Southwest Regional Maintenance Center,Combined Synopsis / Solicitation,2026-09-04,N5523626Q0102,Open solicitation; quote path likely short and procedural,Immediate quote window,Only if already positioned,"The work matches Sabre software/systems engineering language, but the response clock is brutal and may require existing SWRMC familiarity.",Check attachments and submission mechanics immediately; no-bid if past performance/pricing cannot be assembled fast.,Medium,https://sam.gov/opp/163559872c7e4ed3b1ec7486b5bb8203/view
21,Maritime Targeting Cell Shelter Systems,P2,Teaming diligence / USMC C5ISR,PM Intelligence and Cyberspace Operations targeting-cell shelter systems and C5ISR integration,Marine Corps Systems Command / PM ICO,Special Notice / Sources Sought,2026-09-17,M6785426I0246,Market research; program acquisition path unresolved,Near-term PM ICO market signal,Teaming lead,"Useful DoW C5ISR/cyberspace adjacency, but likely hardware/shelter/integration heavy enough that Sabre should team unless it has an existing PM ICO lane.","Map scope, incumbent, and likely shelter/integration primes; look for software/data/mission-planning workshare.",Medium,https://sam.gov/opp/33bbb15bbef54bb3aebeddcbeb3384ee/view
22,Alternate Access for Cyber Applications: Exodus,P3,Concept watch / AFRL cyber,"AFRL cyber application access, experimentation, and capability concept development",AFRL Information Directorate / Rome Research Site,Presolicitation,No response date listed,FA8750-26-S-7004,AFRL research/prototype path; concept fit required,Early-stage cyber application notice,Concept watch,"Potential cyber/software concept surface, but not yet an ordinary services pursuit; Sabre needs a specific technical concept or partner to make it real.",Watch for solicitation details and decide whether Sabre has a cyber-app access concept worth shaping.,Medium,https://sam.gov/opp/00cd7e513c0d4f94b41c5284880f2e1a/view
23,Navy Electronic Chart Display and Information System Production,P3,Teaming diligence / NAVSEA software,"ECDIS software/hardware production, integration, testing, fielding, and lifecycle support",NAVSEA Headquarters,Presolicitation,No response date listed,N00024-26-R-5246,Full and open competitive solicitation planned; production-heavy gate,Future NAVSEA production/lifecycle opportunity,Team / product-integration diligence,"Navy software lifecycle and integration fit exists, but hardware production and fielding likely make Sabre stronger as a systems/software teammate than solo prime.","Track RFP release, identify ECDIS incumbents/OEMs, and isolate software/integration workshare.",Medium,https://sam.gov/opp/d284ff44e5a84de8a41cb06d728cc88f/view
24,ACC Red River OIB Modernization CSO,P3,CSO shaping / OIB modernization,"Organic Industrial Base modernization, digital sustainment, producibility, logistics, and advanced manufacturing support",Army Contracting Command / Red River Army Depot,CSO / Special Notice,2026-09-30,W911RQ-26-S-C001,Commercial Solutions Opening,Open modernization CSO,Concept-first / partner path,"Not a classic Sabre NAVAIR lane, but digital sustainment and logistics modernization could be viable with a depot/industrial partner.","Decide if Sabre has one sharp OIB digital thread: workflow, data layer, maintenance analytics, or secure integration.",Medium,https://sam.gov/opp/b316d56ff0ee4944843e18db7f186ad1/view
25,Bomber Agile Common Hangar Equipment Integration,P3,Selective teaming / AF integration,"Integration contractor for acquisition management, activation services, and hangar equipment outfitting",AFLCMC Bomber Aircraft,Sources Sought,2026-09-30,FA810726S0001,Market research; future acquisition path unresolved,Near-term integration market research,Selective teaming diligence,"Program/integration management overlap with Sabre exists, but physical equipment/outfitting scope likely requires an installation or logistics prime.","Screen attachments for digital integration, PMO, requirements, test, and activation workshare; otherwise treat as low-priority teaming lead.",Low-Medium,https://sam.gov/opp/1b97b3dfba6f47e5aa3fff985d95c72a/view
